"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8619","输入小于6个字符的密码","data","Thu Dec 18 21:25:53 CST 2025","passed","Thu Dec 18 21:26:01 CST 2025","注册模块-反向用例","test_register","",""
"","10046","输入已注册手机号","data","Thu Dec 18 21:25:43 CST 2025","passed","Thu Dec 18 21:25:53 CST 2025","注册模块-反向用例","test_register","",""
"","12268","用户成功注册","data","Thu Dec 18 21:26:24 CST 2025","passed","Thu Dec 18 21:26:36 CST 2025","注册模块-正向用例","test_register","",""
"","7087","未输入密码","data","Thu Dec 18 21:26:09 CST 2025","passed","Thu Dec 18 21:26:16 CST 2025","注册模块-反向用例","test_register","",""
"","11350","未输入姓名","data","Thu Dec 18 21:25:43 CST 2025","passed","Thu Dec 18 21:25:54 CST 2025","分销商申请模块-反向用例","test_distributor","",""
"","10210","分销商成功申请","data","Thu Dec 18 21:26:05 CST 2025","passed","Thu Dec 18 21:26:15 CST 2025","分销商申请模块-正向用例","test_distributor","",""
"","7606","未输入手机号","data","Thu Dec 18 21:26:01 CST 2025","passed","Thu Dec 18 21:26:09 CST 2025","注册模块-反向用例","test_register","",""
"","10031","输入未注册的手机号","data","Thu Dec 18 21:25:43 CST 2025","passed","Thu Dec 18 21:25:53 CST 2025","登录模块-反向用例","test_login","",""
"","8119","未输入手机号","data","Thu Dec 18 21:26:17 CST 2025","passed","Thu Dec 18 21:26:25 CST 2025","登录模块-反向用例","test_login","",""
"","10895","未输入手机号","data","Thu Dec 18 21:25:54 CST 2025","passed","Thu Dec 18 21:26:05 CST 2025","分销商申请模块-反向用例","test_distributor","",""
"","7629","未输入确认密码","data","Thu Dec 18 21:26:16 CST 2025","passed","Thu Dec 18 21:26:24 CST 2025","注册模块-反向用例","test_register","",""
"","7147","未输入密码","data","Thu Dec 18 21:26:09 CST 2025","passed","Thu Dec 18 21:26:17 CST 2025","登录模块-反向用例","test_login","",""
"","8716","用户成功登录","data","Thu Dec 18 21:26:15 CST 2025","passed","Thu Dec 18 21:26:24 CST 2025","登录模块-正向用例","test_login","",""
"","8139","输入不符合规范的手机号","data","Thu Dec 18 21:26:01 CST 2025","passed","Thu Dec 18 21:26:09 CST 2025","登录模块-反向用例","test_login","",""
"","8611","输入错误密码","data","Thu Dec 18 21:25:53 CST 2025","passed","Thu Dec 18 21:26:01 CST 2025","登录模块-反向用例","test_login","",""
